id;marque;description;prix;note;avis;nombre_acheteurs;stock_disponible;screen_size;os;ram;processor;storage
1;ACEMAGIC;ACEMAGIC Gaming Ordinateur Portable 16,10 Pouces avec AMD Ryzen 7 5825U(8C/16T, jusqu'à 4,50GHz) 16Go DDR4,512Go M.2 SSD Boîtier en Métal et Rétroéclairé pour PC Portables Gamer, FHD,WiFi 6,BT5.2,HDMI;499;4;716;517;409;16.1;;16.0;AMD Ryzen 7 5825U;512 Go SSD
2;TECLAST;TECLAST Ordinateur Portable 15,6 Pouces FHD, F16pro PC Portabl, 16 Go RAM 512 Go SSD, 7000mAh Laptop, WiFi, BT5.0, USB 3.0, Type C, Mini HDMI Écran Partageable;439;5;5;782;432;15.6;;16.0;;512 Go SSD
3;AOC;AOC 2024 Gaming Ordinateur Portable Boîtier en Métal et Rétroéclairé, AMD Ryzen 7 5825U(8C/16T, jusqu'à 4,50 GHz,15W) PC Portable Gamer 16,10 Pouces,16Go DDR4 512Go M.2 SSD,WiFi 6,BT5.2,HDMI,Type C;443;4;182;857;434;16.1;;16.0;AMD Ryzen 7 5825U;512 Go SSD
4;ACEMAGIC;ACEMAGIC PC Portable 17,3 Pouces Ordinateur Portable Full HD,16 Go Ram DDR4 512 Go SSD 4 cœurs ln-tel Alder Lake N-97, jusqu'à 3,6 GHz,WiFi,3*USB3.2,BT5.0,HDMI,Laptop Gris;499;4;208;441;375;17.3;;16.0;;512 Go SSD
5;ACER;ACER Aspire 1 A115-32-C3AK Ordinateur Portable 15,6'' Full HD, PC Portable (Intel Celeron N4500, RAM 4 Go, 128 Go eMMC, Intel UHD Graphics, Windows 11 ) - Clavier AZERTY (Français), Laptop Gris;249;4;1;934;69;;Windows 11;4.0;Intel Celeron N4500;128 Go eMMC
6;Lenovo;Lenovo IdeaPad Slim 3 Chromebook 14M868 - Ordinateur Portable 14'' FHD (MediaTek Kompanio 520, RAM 4Go, eMMC 64Go, Arm Mali-G52 Graphics, Chrome OS) Clavier AZERTY Français - Gris;189;4;271;448;225;;Chrome OS;4.0;;64 Go eMMC
7;;PINSTONE PC Portable Ordinateur 16 Go RAM LPDDR4 512 Go SSD 15,6 Pouces UHD Celeron N5095 Processeur Computer avec Touch ID WiFi5 Bluetooth 4.0 USB 3.0(Film de Clavier Inclus);205;4;398;736;418;15.6;;16.0;Celeron N5095;512 Go SSD
8;;"Ordinateur Portable 14,1"" Pouces laptop, 6 Go de RAM, 128 Go de SSD, N4000 Celeron Dual-Core, Wi-Fi Bluetooth 2,4/5,0G, 1366 * 768 IPS, Design sans Ventilateur, Inclus une Souris, Clavier à Membrane.";199;4;297;838;412;14.1;;6.0;N4000 Celeron;128 Go SSD
9;ACER;ACER Chromebook 314 CBOA314-1H-C8XY, Ordinateur Portable 14'' Full HD, PC Portable (Intel Celeron N4500, RAM 4Go, 128Go eMMC, Intel UHD Graphics, Chrome OS), Laptop Noir, Clavier AZERTY;199;4;368;483;304;;Chrome OS;4.0;Intel Celeron N4500;128 Go eMMC
10;;Hcjip Ordinateur Portable 15,6 Pouces, 16Go RAM 512Go SSD PC Portable, Celeron N5095 Processeur Quad-Core, FHD 1080P, USB 3.0, Mini HDMI, TF, Bluetooth, WiFi (Argenté);219;4;11;1201;286;15.6;;16.0;Celeron N5095;512 Go SSD
11;;"bvate Ordinateur Portable 256 Go 14"" Win 11 N4020 Support Expansion 1 to SSD 1080P 2.4G+5G WiFi Mini HDMI & Souris sans Fil et Un Film de Clavier AZERTY pour Clavier - Or Rose";216;4;21;252;18;;;;;256 Go SSD
12;Lenovo;Lenovo (FullHD 15,6 Zoll Ordinateur Portable (Intel® Quad N5100 4x2.80 GHz, 16Go DDR4, 1000 Go SSD, Intel™ UHD, HDMI, BT, USB 3.0, Webcam, WLAN, Windows 11, Clavier AZERTY [français]) #7388;377;4;759;359;234;;Windows 11;16.0;;
13;;Ordinateur portable 16 pouces, Core i5-8210Y 16 Go de RAM 512 Go SSD PC Portable, Laptop avec FHD 1920 * 1080, RJ45, Type-C, USB 3.0, Wi-Fi double bande, Bluetooth 5.0, clavier numérique rétroéclairé;329;5;7;939;114;16.0;;16.0;;512 Go SSD
